  0.0000   0.0000   0.0000
  0.0314   0.0377   0.0126
  0.0628   0.0754   0.0251
  0.0941   0.1130   0.0377
  0.1253   0.1507   0.0502
  0.1564   0.1882   0.0628
  0.1874   0.2257   0.0753
  0.2181   0.2631   0.0879
  0.2487   0.3005   0.1004
  0.2790   0.3377   0.1129
  0.3090   0.3748   0.1253
  0.3387   0.4117   0.1378
  0.3681   0.4485   0.1502
  0.3971   0.4852   0.1626
  0.4258   0.5217   0.1750
  0.4540   0.5580   0.1874
  0.4818   0.5941   0.1997
  0.5090   0.6300   0.2120
  0.5358   0.6656   0.2243
  0.5621   0.7011   0.2365
  0.5878   0.7362   0.2487
  0.6129   0.7712   0.2608
  0.6374   0.8058   0.2730
  0.6613   0.8402   0.2850
  0.6845   0.8742   0.2970
  0.7071   0.9080   0.3090
  0.7290   0.9414   0.3209
  0.7501   0.9745   0.3328
  0.7705   1.0072   0.3446
  0.7902   1.0396   0.3564
  0.8090   1.0717   0.3681
  0.8271   1.1033   0.3798
  0.8443   1.1345   0.3914
  0.8607   1.1654   0.4029
  0.8763   1.1958   0.4144
  0.8910   1.2258   0.4258
  0.9048   1.2554   0.4371
  0.9178   1.2845   0.4484
  0.9298   1.3132   0.4596
  0.9409   1.3414   0.4707
  0.9511   1.3691   0.4818
  0.9603   1.3963   0.4927
  0.9686   1.4231   0.5036
  0.9759   1.4493   0.5144
  0.9823   1.4750   0.5252
  0.9877   1.5002   0.5358
  0.9921   1.5249   0.5464
  0.9956   1.5490   0.5569
  0.9980   1.5726   0.5673
  0.9995   1.5956   0.5776
  1.0000   1.6180   0.5878
  0.9995   1.6399   0.5979
  0.9980   1.6612   0.6079
  0.9956   1.6819   0.6179
  0.9921   1.7020   0.6277
  0.9877   1.7215   0.6374
  0.9823   1.7404   0.6471
  0.9759   1.7586   0.6566
  0.9686   1.7763   0.6660
  0.9603   1.7933   0.6753
  0.9511   1.8097   0.6845
  0.9409   1.8254   0.6937
  0.9298   1.8405   0.7026
  0.9178   1.8549   0.7115
  0.9048   1.8687   0.7203
  0.8910   1.8818   0.7290
  0.8763   1.8942   0.7375
  0.8607   1.9060   0.7459
  0.8443   1.9170   0.7543
  0.8271   1.9274   0.7624
  0.8090   1.9372   0.7705
  0.7902   1.9462   0.7785
  0.7705   1.9545   0.7863
  0.7501   1.9622   0.7940
  0.7290   1.9691   0.8016
  0.7071   1.9754   0.8090
  0.6845   1.9809   0.8163
  0.6613   1.9858   0.8235
  0.6374   1.9899   0.8306
  0.6129   1.9933   0.8375
  0.5878   1.9961   0.8443
  0.5621   1.9981   0.8510
  0.5358   1.9994   0.8575
  0.5090   2.0000   0.8639
  0.4818   1.9998   0.8702
  0.4540   1.9990   0.8763
  0.4258   1.9975   0.8823
  0.3971   1.9952   0.8881
  0.3681   1.9923   0.8938
  0.3387   1.9886   0.8994
  0.3090   1.9842   0.9048
  0.2790   1.9792   0.9101
  0.2487   1.9734   0.9152
  0.2181   1.9669   0.9202
  0.1874   1.9597   0.9251
  0.1564   1.9518   0.9298
  0.1253   1.9433   0.9343
  0.0941   1.9340   0.9387
  0.0628   1.9241   0.9430
  0.0314   1.9134   0.9471
  0.0000   1.9021   0.9511
 -0.0314   1.8901   0.9549
 -0.0628   1.8775   0.9585
 -0.0941   1.8641   0.9620
 -0.1253   1.8502   0.9654
 -0.1564   1.8355   0.9686
 -0.1874   1.8202   0.9716
 -0.2181   1.8043   0.9745
 -0.2487   1.7877   0.9773
 -0.2790   1.7705   0.9799
 -0.3090   1.7526   0.9823
 -0.3387   1.7341   0.9846
 -0.3681   1.7151   0.9867
 -0.3971   1.6954   0.9887
 -0.4258   1.6751   0.9905
 -0.4540   1.6542   0.9921
 -0.4818   1.6327   0.9936
 -0.5090   1.6106   0.9950
 -0.5358   1.5880   0.9961
 -0.5621   1.5648   0.9972
 -0.5878   1.5410   0.9980
 -0.6129   1.5167   0.9987
 -0.6374   1.4919   0.9993
 -0.6613   1.4665   0.9997
 -0.6845   1.4406   0.9999
 -0.7071   1.4142   1.0000
 -0.7290   1.3873   0.9999
 -0.7501   1.3599   0.9997
 -0.7705   1.3320   0.9993
 -0.7902   1.3037   0.9987
 -0.8090   1.2748   0.9980
 -0.8271   1.2456   0.9972
 -0.8443   1.2159   0.9961
 -0.8607   1.1857   0.9950
 -0.8763   1.1551   0.9936
 -0.8910   1.1242   0.9921
 -0.9048   1.0928   0.9905
 -0.9178   1.0610   0.9887
 -0.9298   1.0289   0.9867
 -0.9409   0.9964   0.9846
 -0.9511   0.9635   0.9823
 -0.9603   0.9303   0.9799
 -0.9686   0.8968   0.9773
 -0.9759   0.8629   0.9745
 -0.9823   0.8288   0.9716
 -0.9877   0.7943   0.9686
 -0.9921   0.7596   0.9654
 -0.9956   0.7246   0.9620
 -0.9980   0.6893   0.9585
 -0.9995   0.6538   0.9549
 -1.0000   0.6180   0.9511
 -0.9995   0.5821   0.9471
 -0.9980   0.5459   0.9430
 -0.9956   0.5095   0.9387
 -0.9921   0.4730   0.9343
 -0.9877   0.4363   0.9298
 -0.9823   0.3994   0.9251
 -0.9759   0.3624   0.9202
 -0.9686   0.3253   0.9152
 -0.9603   0.2880   0.9101
 -0.9511   0.2507   0.9048
 -0.9409   0.2132   0.8994
 -0.9298   0.1757   0.8938
 -0.9178   0.1381   0.8881
 -0.9048   0.1005   0.8823
 -0.8910   0.0628   0.8763
 -0.8763   0.0251   0.8702
 -0.8607  -0.0126   0.8639
 -0.8443  -0.0503   0.8575
 -0.8271  -0.0879   0.8510
